run,Number of States,time
1,40,1.1660754680633544e-05
1,41,1.1678159236907959e-05
1,42,1.1650025844573975e-05
1,43,1.1690676212310791e-05
1,44,1.1736392974853515e-05
1,45,1.1708378791809082e-05
1,46,1.1754691600799561e-05
1,47,1.1684596538543701e-05
1,48,1.171267032623291e-05
1,49,1.172959804534912e-05
1,50,1.1743247509002686e-05
2,4,1.0609567165374756e-05
2,5,1.0633766651153565e-05
2,6,1.064753532409668e-05
2,7,1.0751128196716308e-05
2,8,1.0627031326293945e-05
2,9,1.0601043701171875e-05
2,10,1.091909408569336e-05
2,11,1.1807382106781006e-05
2,12,1.18139386177063e-05
2,13,1.1891186237335205e-05
2,14,1.1969447135925293e-05
2,15,1.1896014213562011e-05
2,16,1.1940121650695801e-05
2,17,1.178044080734253e-05
2,18,1.1827409267425538e-05
2,19,1.1849641799926758e-05
2,20,1.1847972869873047e-05
2,21,1.1800885200500488e-05
2,22,1.1838734149932862e-05
2,23,1.192384958267212e-05
2,24,1.1837482452392578e-05
2,25,1.1958837509155273e-05
2,26,1.1830449104309082e-05
2,27,1.1873185634613038e-05
2,28,1.1876225471496582e-05
2,29,1.183772087097168e-05
2,30,1.1855244636535644e-05
2,31,1.1886358261108398e-05
2,32,1.1869847774505615e-05
2,33,1.185530424118042e-05
2,34,1.19209885597229e-05
2,35,1.1973559856414796e-05
2,36,1.198422908782959e-05
2,37,1.2075960636138916e-05
2,38,1.2011647224426269e-05
2,39,1.2023210525512696e-05
2,40,1.214909553527832e-05
2,41,1.1983215808868407e-05
2,42,1.2037038803100586e-05
2,43,1.2102484703063964e-05
2,44,1.205986738204956e-05
2,45,1.2114346027374268e-05
2,46,1.2129724025726318e-05
2,47,1.2081146240234374e-05
2,48,1.2111008167266845e-05
2,49,1.2147367000579834e-05
2,50,1.207512617111206e-05
3,4,1.142805814743042e-05
3,5,1.1339664459228515e-05
3,6,1.1207044124603271e-05
3,7,1.1222779750823975e-05
3,8,1.1182546615600586e-05
3,9,1.0980367660522461e-05
3,10,1.1245429515838623e-05
3,11,1.1160731315612794e-05
3,12,1.1157393455505371e-05
3,13,1.1259198188781738e-05
3,14,1.124650239944458e-05
3,15,1.1279582977294922e-05
3,16,1.1192739009857177e-05
3,17,1.1301398277282715e-05
3,18,1.120758056640625e-05
3,19,1.1277854442596436e-05
3,20,1.1201798915863037e-05
3,21,1.1188328266143799e-05
3,22,1.125413179397583e-05
3,23,1.1200964450836181e-05
3,24,1.1116266250610352e-05
3,25,1.1230289936065674e-05
3,26,1.1301159858703614e-05
3,27,1.129150390625e-05
3,28,1.1308133602142334e-05
3,29,1.1232852935791015e-05
3,30,1.1281073093414306e-05
3,31,1.12496018409729e-05
3,32,1.131725311279297e-05
3,33,1.129615306854248e-05
3,34,1.1274099349975586e-05
3,35,1.1244356632232666e-05
3,36,1.1304497718811034e-05
3,37,1.1315882205963134e-05
3,38,1.1224210262298584e-05
3,39,1.1227548122406005e-05
3,40,1.1311650276184082e-05
3,41,1.1270403861999512e-05
3,42,1.1303007602691651e-05
3,43,1.1339306831359863e-05
3,44,1.135331392288208e-05
3,45,1.1366188526153565e-05
3,46,1.1424124240875244e-05
3,47,1.1329114437103271e-05
3,48,1.1331140995025634e-05
3,49,1.1405587196350098e-05
3,50,1.1352360248565675e-05
4,4,1.0519683361053468e-05
4,5,1.0516643524169922e-05
4,6,1.0439395904541016e-05
4,7,1.0423481464385987e-05
4,8,1.0420501232147217e-05
4,9,1.0396838188171387e-05
4,10,1.045912504196167e-05
4,11,1.0458886623382569e-05
4,12,1.0485827922821045e-05
4,13,1.0479629039764404e-05
4,14,1.045161485671997e-05
4,15,1.043492555618286e-05
4,16,1.0426700115203858e-05
4,17,1.040107011795044e-05
4,18,1.042097806930542e-05
4,19,1.046520471572876e-05
4,20,1.0418951511383056e-05
4,21,1.0373413562774659e-05
4,22,1.0480761528015136e-05
4,23,1.046043634414673e-05
4,24,1.0457992553710937e-05
4,25,1.0439455509185792e-05
4,26,1.043856143951416e-05
4,27,1.0484278202056884e-05
4,28,1.0448694229125977e-05
4,29,1.0466217994689941e-05
4,30,1.0471940040588379e-05
4,31,1.0525822639465332e-05
4,32,1.055908203125e-05
4,33,1.0471463203430175e-05
4,34,1.0540783405303955e-05
4,35,1.0524094104766846e-05
4,36,1.0505378246307373e-05
4,37,1.0480165481567383e-05
4,38,1.0438084602355958e-05
4,39,1.0478615760803222e-05
4,40,1.0459244251251221e-05
4,41,1.0464251041412354e-05
4,42,1.0539233684539794e-05
4,43,1.0520815849304199e-05
4,44,1.0446369647979736e-05
4,45,1.0487258434295654e-05
4,46,1.0522425174713135e-05
4,47,1.0480225086212159e-05
4,48,1.0512053966522217e-05
4,49,1.0573744773864746e-05
4,50,1.055532693862915e-05
5,4,1.0922312736511231e-05
5,5,1.0873079299926757e-05
5,6,1.1516869068145752e-05
5,7,1.1554062366485596e-05
5,8,1.1580586433410644e-05
5,9,1.1474609375e-05
5,10,1.1545658111572266e-05
5,11,1.1463165283203125e-05
5,12,1.1478960514068604e-05
5,13,1.148831844329834e-05
5,14,1.1501550674438476e-05
5,15,1.1489629745483399e-05
5,16,1.1462271213531495e-05
5,17,1.1506259441375733e-05
5,18,1.1519074440002442e-05
5,19,1.1535406112670899e-05
5,20,1.1451959609985352e-05
5,21,1.1440813541412353e-05
5,22,1.1448919773101806e-05
5,23,1.1471688747406005e-05
5,24,1.1423468589782715e-05
5,25,1.1499643325805663e-05
5,26,1.1473119258880615e-05
5,27,1.1426985263824463e-05
5,28,1.1499226093292237e-05
5,29,1.1550664901733399e-05
5,30,1.1508464813232423e-05
5,31,1.1554598808288575e-05
5,32,1.1550545692443848e-05
5,33,1.1598587036132813e-05
5,34,1.1620402336120605e-05
5,35,1.1527657508850097e-05
5,36,1.1551201343536377e-05
5,37,1.1589646339416504e-05
5,38,1.1591732501983643e-05
5,39,1.1562168598175049e-05
5,40,1.1675715446472168e-05
5,41,1.1527001857757568e-05
5,42,1.1561930179595947e-05
5,43,1.1599421501159668e-05
5,44,1.163393259048462e-05
5,45,1.1559784412384033e-05
5,46,1.159447431564331e-05
5,47,1.167130470275879e-05
5,48,1.1599063873291015e-05
5,49,1.1719882488250733e-05
5,50,1.1716425418853759e-05
6,4,1.115107536315918e-05
6,5,1.1432886123657227e-05
6,6,1.1497855186462402e-05
6,7,1.142442226409912e-05
6,8,1.1442720890045166e-05
6,9,1.1331617832183838e-05
6,10,1.1327803134918213e-05
6,11,1.1308610439300537e-05
6,12,1.1346042156219482e-05
6,13,1.1309564113616943e-05
6,14,1.1284410953521728e-05
6,15,1.1293232440948486e-05
6,16,1.1368095874786377e-05
6,17,1.132059097290039e-05
6,18,1.1212348937988281e-05
6,19,1.1443018913269043e-05
6,20,1.1362671852111816e-05
6,21,1.1356472969055176e-05
6,22,1.1424005031585694e-05
6,23,1.1363506317138672e-05
6,24,1.1384546756744385e-05
6,25,1.1348187923431396e-05
6,26,1.1323213577270508e-05
6,27,1.1328637599945068e-05
6,28,1.1335015296936034e-05
6,29,1.1264264583587647e-05
6,30,1.127791404724121e-05
6,31,1.1353671550750733e-05
6,32,1.1282265186309814e-05
6,33,1.1119008064270019e-05
6,34,1.1285245418548584e-05
6,35,1.1319935321807861e-05
6,36,1.1276721954345704e-05
6,37,1.1372566223144532e-05
6,38,1.1382341384887695e-05
6,39,1.136946678161621e-05
6,40,1.1393725872039795e-05
6,41,1.139998435974121e-05
6,42,1.1346817016601562e-05
6,43,1.1368930339813233e-05
6,44,1.1343300342559814e-05
6,45,1.1343479156494141e-05
6,46,1.1456608772277833e-05
6,47,1.1393547058105468e-05
6,48,1.1389017105102539e-05
6,49,1.138460636138916e-05
6,50,1.1410176753997803e-05
7,4,1.1143863201141357e-05
7,5,1.1133491992950439e-05
7,6,1.1114358901977538e-05
7,7,1.1081516742706299e-05
7,8,1.1033117771148681e-05
7,9,1.1138319969177246e-05
7,10,1.1137783527374267e-05
7,11,1.1049747467041015e-05
7,12,1.1071443557739257e-05
7,13,1.1012554168701171e-05
7,14,1.1058807373046875e-05
7,15,1.1067211627960205e-05
7,16,1.1023640632629394e-05
7,17,1.103752851486206e-05
7,18,1.1001765727996827e-05
7,19,1.1091947555541993e-05
7,20,1.106172800064087e-05
7,21,1.1090457439422608e-05
7,22,1.11008882522583e-05
7,23,1.1054277420043946e-05
7,24,1.1041104793548584e-05
7,25,1.1141240596771241e-05
7,26,1.1152565479278565e-05
7,27,1.1165857315063476e-05
7,28,1.1125922203063965e-05
7,29,1.1100530624389648e-05
7,30,1.112675666809082e-05
7,31,1.1166095733642579e-05
7,32,1.1152565479278565e-05
7,33,1.1130094528198242e-05
7,34,1.11810564994812e-05
7,35,1.1167645454406738e-05
7,36,1.1155545711517333e-05
7,37,1.1215031147003174e-05
7,38,1.1283934116363525e-05
7,39,1.1133313179016113e-05
7,40,1.1135101318359375e-05
7,41,1.1220157146453857e-05
7,42,1.124107837677002e-05
7,43,1.1368751525878906e-05
7,44,1.1225521564483642e-05
7,45,1.1282026767730713e-05
7,46,1.1220812797546386e-05
7,47,1.1257290840148927e-05
7,48,1.1209845542907714e-05
7,49,1.1334896087646485e-05
7,50,1.1185705661773681e-05
8,4,1.0517597198486327e-05
8,5,1.0578691959381103e-05
8,6,1.052016019821167e-05
8,7,1.0498046875e-05
8,8,1.0501444339752197e-05
8,9,1.0466098785400391e-05
8,10,1.0602653026580811e-05
8,11,1.0541677474975587e-05
8,12,1.0559380054473878e-05
8,13,1.0524392127990722e-05
8,14,1.0608732700347901e-05
8,15,1.0550796985626221e-05
8,16,1.0564565658569336e-05
8,17,1.0512351989746093e-05
8,18,1.0545432567596436e-05
8,19,1.055002212524414e-05
8,20,1.0443150997161865e-05
8,21,1.0464847087860107e-05
8,22,1.0505974292755127e-05
8,23,1.0475218296051026e-05
8,24,1.0479152202606202e-05
8,25,1.0537564754486084e-05
8,26,1.0492682456970215e-05
8,27,1.061028242111206e-05
8,28,1.0631680488586426e-05
8,29,1.0646045207977294e-05
8,30,1.0630249977111817e-05
8,31,1.062530279159546e-05
8,32,1.0585904121398926e-05
8,33,1.0624825954437256e-05
8,34,1.064223051071167e-05
8,35,1.0723888874053955e-05
8,36,1.0602355003356933e-05
8,37,1.0709404945373536e-05
8,38,1.066356897354126e-05
8,39,1.0680913925170898e-05
8,40,1.0661721229553222e-05
8,41,1.0652124881744384e-05
8,42,1.0614514350891113e-05
8,43,1.0707437992095947e-05
8,44,1.070350408554077e-05
8,45,1.0714232921600342e-05
8,46,1.0694921016693116e-05
8,47,1.0691404342651368e-05
8,48,1.066887378692627e-05
8,49,1.0755300521850585e-05
8,50,1.0672926902770997e-05
9,4,1.2621641159057617e-05
9,5,1.2633979320526123e-05
9,6,1.2676715850830079e-05
9,7,1.26228928565979e-05
9,8,1.2630581855773926e-05
9,9,1.2569606304168702e-05
9,10,1.258152723312378e-05
9,11,1.251131296157837e-05
9,12,1.2585878372192383e-05
9,13,1.2585103511810303e-05
9,14,1.2562572956085204e-05
9,15,1.2580931186676026e-05
9,16,1.2531161308288574e-05
9,17,1.2488126754760742e-05
9,18,1.2606143951416016e-05
9,19,1.2562811374664307e-05
9,20,1.2592136859893799e-05
9,21,1.2566328048706055e-05
9,22,1.2650549411773682e-05
9,23,1.2578725814819336e-05
9,24,1.2665808200836182e-05
9,25,1.2608706951141357e-05
9,26,1.2669742107391357e-05
9,27,1.2677788734436036e-05
9,28,1.2725114822387695e-05
9,29,1.263672113418579e-05
9,30,1.2816011905670166e-05
9,31,1.268082857131958e-05
9,32,1.2674570083618164e-05
9,33,1.2693285942077637e-05
9,34,1.2755274772644042e-05
9,35,1.2722015380859375e-05
9,36,1.2786924839019775e-05
9,37,1.2742161750793457e-05
9,38,1.276928186416626e-05
9,39,1.2732863426208497e-05
9,40,1.2762963771820069e-05
9,41,1.2694358825683594e-05
9,42,1.2766003608703613e-05
9,43,1.270139217376709e-05
9,44,1.277613639831543e-05
9,45,1.2727439403533936e-05
9,46,1.281958818435669e-05
9,47,1.2774944305419922e-05
9,48,1.2835502624511718e-05
9,49,1.2847483158111572e-05
9,50,1.2856900691986084e-05
10,4,1.1634767055511475e-05
10,5,1.1592090129852295e-05
10,6,1.1608123779296876e-05
10,7,1.165074110031128e-05
10,8,1.1622488498687744e-05
10,9,1.1617779731750488e-05
10,10,1.1693298816680909e-05
10,11,1.1606514453887939e-05
10,12,1.1596739292144776e-05
10,13,1.1606156826019287e-05
10,14,1.156163215637207e-05
10,15,1.1643946170806885e-05
10,16,1.155543327331543e-05
10,17,1.1601567268371582e-05
10,18,1.1555910110473633e-05
10,19,1.163339614868164e-05
10,20,1.1543869972229004e-05
10,21,1.1650323867797852e-05
10,22,1.1660218238830567e-05
10,23,1.1661052703857421e-05
10,24,1.160365343093872e-05
10,25,1.1675417423248291e-05
10,26,1.162278652191162e-05
10,27,1.1565744876861572e-05
10,28,1.1665284633636475e-05
10,29,1.1648178100585938e-05
10,30,1.1688649654388428e-05
10,31,1.1665701866149902e-05
10,32,1.1668503284454345e-05
10,33,1.1744320392608643e-05
10,34,1.180344820022583e-05
10,35,1.1726617813110352e-05
10,36,1.1555135250091553e-05
10,37,1.1713862419128419e-05
10,38,1.1644721031188966e-05
10,39,1.1606276035308838e-05
10,40,1.1700868606567382e-05
10,41,1.1598229408264161e-05
10,42,1.1722922325134277e-05
10,43,1.1671006679534911e-05
10,44,1.17032527923584e-05
10,45,1.1717617511749267e-05
10,46,1.1712968349456787e-05
10,47,1.1678695678710938e-05
10,48,1.1752486228942871e-05
10,49,1.1703968048095704e-05
10,50,1.171797513961792e-05
11,4,1.0900676250457764e-05
11,5,1.0910212993621827e-05
11,6,1.0889768600463867e-05
11,7,1.0933637619018555e-05
11,8,1.0879874229431152e-05
11,9,1.0812997817993164e-05
11,10,1.0846257209777832e-05
11,11,1.084280014038086e-05
11,12,1.0813474655151366e-05
11,13,1.0844528675079346e-05
11,14,1.0838687419891357e-05
11,15,1.082092523574829e-05
11,16,1.0907471179962159e-05
11,17,1.0878205299377441e-05
11,18,1.0883510112762451e-05
11,19,1.0875225067138671e-05
11,20,1.0908007621765137e-05
11,21,1.0894834995269775e-05
11,22,1.0912835597991943e-05
11,23,1.0890185832977295e-05
11,24,1.0825693607330322e-05
11,25,1.0909616947174071e-05
11,26,1.0867834091186523e-05
11,27,1.0905742645263671e-05
11,28,1.0896742343902588e-05
11,29,1.096707582473755e-05
11,30,1.0925114154815674e-05
11,31,1.0965108871459961e-05
11,32,1.092904806137085e-05
11,33,1.0889172554016113e-05
11,34,1.095104217529297e-05
11,35,1.0954439640045166e-05
11,36,1.1011242866516113e-05
11,37,1.1194288730621338e-05
11,38,1.102590560913086e-05
11,39,1.1013686656951904e-05
11,40,1.1069595813751221e-05
11,41,1.105731725692749e-05
11,42,1.1078238487243652e-05
11,43,1.1160910129547119e-05
11,44,1.1056721210479737e-05
11,45,1.111745834350586e-05
11,46,1.1095881462097167e-05
11,47,1.1079907417297362e-05
11,48,1.1174917221069336e-05
11,49,1.1181235313415528e-05
11,50,1.117992401123047e-05
12,4,1.1041522026062012e-05
12,5,1.1422336101531982e-05
12,6,1.137995719909668e-05
12,7,1.1456549167633057e-05
12,8,1.144266128540039e-05
12,9,1.1338591575622558e-05
12,10,1.1368811130523681e-05
12,11,1.1345922946929932e-05
12,12,1.1294066905975342e-05
12,13,1.1324703693389893e-05
12,14,1.1307060718536377e-05
12,15,1.1318981647491456e-05
12,16,1.1443078517913819e-05
12,17,1.1328220367431641e-05
12,18,1.1379301548004151e-05
12,19,1.1345207691192627e-05
12,20,1.1320292949676514e-05
12,21,1.128309965133667e-05
12,22,1.1370658874511719e-05
12,23,1.1309385299682618e-05
12,24,1.1355042457580566e-05
12,25,1.1522173881530762e-05
12,26,1.1576652526855468e-05
12,27,1.1541128158569335e-05
12,28,1.1559605598449706e-05
12,29,1.161336898803711e-05
12,30,1.159501075744629e-05
12,31,1.1427998542785644e-05
12,32,1.1443972587585449e-05
12,33,1.1412322521209718e-05
12,34,1.1417031288146972e-05
12,35,1.1383414268493652e-05
12,36,1.1291861534118652e-05
12,37,1.1389076709747314e-05
12,38,1.1377871036529542e-05
12,39,1.1315762996673584e-05
12,40,1.1376559734344482e-05
12,41,1.1359691619873047e-05
12,42,1.1431634426116943e-05
12,43,1.140284538269043e-05
12,44,1.1443853378295899e-05
12,45,1.139885187149048e-05
12,46,1.1500418186187744e-05
12,47,1.1399447917938233e-05
12,48,1.1460304260253906e-05
12,49,1.1508643627166748e-05
12,50,1.1509716510772705e-05
13,4,1.1788547039031982e-05
13,5,1.1731266975402833e-05
13,6,1.163417100906372e-05
13,7,1.1717259883880615e-05
13,8,1.1640310287475586e-05
13,9,1.1600673198699952e-05
13,10,1.1688530445098877e-05
13,11,1.1723637580871582e-05
13,12,1.169300079345703e-05
13,13,1.164090633392334e-05
13,14,1.1562526226043701e-05
13,15,1.1484384536743163e-05
13,16,1.1597156524658204e-05
13,17,1.1482715606689453e-05
13,18,1.1497795581817628e-05
13,19,1.1669278144836425e-05
13,20,1.168990135192871e-05
13,21,1.1671364307403564e-05
13,22,1.173478364944458e-05
13,23,1.1671960353851319e-05
13,24,1.1757194995880126e-05
13,25,1.1683523654937744e-05
13,26,1.1661112308502197e-05
13,27,1.1689305305480957e-05
13,28,1.1692225933074952e-05
13,29,1.1699318885803223e-05
13,30,1.1663556098937988e-05
13,31,1.1818408966064453e-05
13,32,1.1818647384643554e-05
13,33,1.1761367321014405e-05
13,34,1.186978816986084e-05
13,35,1.181262731552124e-05
13,36,1.1985242366790772e-05
13,37,1.1945664882659912e-05
13,38,1.193457841873169e-05
13,39,1.1945605278015136e-05
13,40,1.1898577213287354e-05
13,41,1.1858105659484863e-05
13,42,1.1927545070648193e-05
13,43,1.1995553970336915e-05
13,44,1.1989951133728027e-05
13,45,1.2009739875793458e-05
13,46,1.2067317962646484e-05
13,47,1.2041866779327392e-05
13,48,1.201266050338745e-05
13,49,1.2026727199554444e-05
13,50,1.196986436843872e-05
14,4,1.1001825332641602e-05
14,5,1.0881185531616212e-05
14,6,1.0869264602661132e-05
14,7,1.0902941226959228e-05
14,8,1.0879039764404297e-05
14,9,1.093679666519165e-05
14,10,1.0956346988677979e-05
14,11,1.0946333408355713e-05
14,12,1.0953128337860108e-05
14,13,1.1061251163482666e-05
14,14,1.0869383811950684e-05
14,15,1.08833909034729e-05
14,16,1.0901689529418946e-05
14,17,1.0850846767425537e-05
14,18,1.0812461376190185e-05
14,19,1.0890841484069824e-05
14,20,1.0839343070983888e-05
14,21,1.0844528675079346e-05
14,22,1.0995149612426757e-05
14,23,1.0787665843963623e-05
14,24,1.0827720165252685e-05
14,25,1.0984480381011962e-05
14,26,1.084524393081665e-05
14,27,1.085585355758667e-05
14,28,1.0968267917633056e-05
14,29,1.0847866535186768e-05
14,30,1.081949472427368e-05
14,31,1.0921835899353027e-05
14,32,1.0997116565704346e-05
14,33,1.0857641696929932e-05
14,34,1.1056661605834961e-05
14,35,1.0852575302124023e-05
14,36,1.0846257209777832e-05
14,37,1.0974645614624023e-05
14,38,1.0914027690887451e-05
14,39,1.0971546173095703e-05
14,40,1.1049985885620117e-05
14,41,1.0911464691162109e-05
14,42,1.0969281196594238e-05
14,43,1.0934531688690185e-05
14,44,1.0958433151245117e-05
14,45,1.1088967323303223e-05
14,46,1.1017024517059327e-05
14,47,1.097947359085083e-05
14,48,1.099681854248047e-05
14,49,1.1025786399841309e-05
14,50,1.0928750038146973e-05
15,4,1.1113643646240234e-05
15,5,1.1192619800567627e-05
15,6,1.1160731315612794e-05
15,7,1.1115610599517823e-05
15,8,1.1156201362609863e-05
15,9,1.1175036430358886e-05
15,10,1.1109650135040284e-05
15,11,1.1113405227661133e-05
15,12,1.1205792427062989e-05
15,13,1.122438907623291e-05
15,14,1.1157870292663575e-05
15,15,1.1093854904174804e-05
15,16,1.1141061782836914e-05
15,17,1.1170387268066405e-05
15,18,1.1158645153045655e-05
15,19,1.1151254177093505e-05
15,20,1.1127471923828124e-05
15,21,1.1080265045166015e-05
15,22,1.1119484901428223e-05
15,23,1.1133730411529541e-05
15,24,1.1143088340759277e-05
15,25,1.1255204677581786e-05
15,26,1.1172950267791748e-05
15,27,1.1203646659851075e-05
15,28,1.1210083961486817e-05
15,29,1.1186957359313965e-05
15,30,1.1273622512817382e-05
15,31,1.1150896549224853e-05
15,32,1.1247634887695313e-05
15,33,1.1230647563934327e-05
15,34,1.128542423248291e-05
15,35,1.1210620403289795e-05
15,36,1.1181354522705079e-05
15,37,1.1247456073760986e-05
15,38,1.1345505714416504e-05
15,39,1.1233031749725342e-05
15,40,1.126152276992798e-05
15,41,1.1248111724853515e-05
15,42,1.128453016281128e-05
15,43,1.1302828788757324e-05
15,44,1.1308550834655762e-05
15,45,1.1327147483825684e-05
15,46,1.1250197887420655e-05
15,47,1.1287748813629151e-05
15,48,1.125180721282959e-05
15,49,1.133054494857788e-05
15,50,1.13411545753479e-05
16,4,1.0965168476104737e-05
16,5,1.0985136032104493e-05
16,6,1.0976314544677734e-05
16,7,1.1039972305297851e-05
16,8,1.1083126068115234e-05
16,9,1.100844144821167e-05
16,10,1.099705696105957e-05
16,11,1.0993719100952148e-05
16,12,1.099151372909546e-05
16,13,1.1041820049285889e-05
16,14,1.09444260597229e-05
16,15,1.0926127433776856e-05
16,16,1.0926902294158936e-05
16,17,1.0914266109466552e-05
16,18,1.0938942432403565e-05
16,19,1.0948717594146728e-05
16,20,1.0951876640319824e-05
16,21,1.0912716388702393e-05
16,22,1.0978877544403076e-05
16,23,1.0903716087341308e-05
16,24,1.0910570621490479e-05
16,25,1.1089324951171875e-05
16,26,1.1008918285369874e-05
16,27,1.0985851287841798e-05
16,28,1.0968148708343505e-05
16,29,1.0989844799041747e-05
16,30,1.100844144821167e-05
16,31,1.1009156703948975e-05
16,32,1.09710693359375e-05
16,33,1.1051714420318604e-05
16,34,1.108086109161377e-05
16,35,1.1045217514038086e-05
16,36,1.109170913696289e-05
16,37,1.1034727096557617e-05
16,38,1.1054098606109619e-05
16,39,1.1018991470336914e-05
16,40,1.1081397533416748e-05
16,41,1.1053144931793213e-05
16,42,1.1196672916412353e-05
16,43,1.1186957359313965e-05
16,44,1.1098802089691162e-05
16,45,1.1067986488342285e-05
16,46,1.1116623878479004e-05
16,47,1.10817551612854e-05
16,48,1.114267110824585e-05
16,49,1.1133968830108642e-05
16,50,1.1129021644592285e-05
17,4,1.085144281387329e-05
17,5,1.0855793952941894e-05
17,6,1.0760843753814698e-05
17,7,1.0712981224060059e-05
17,8,1.0776400566101074e-05
17,9,1.068657636642456e-05
17,10,1.0751068592071533e-05
17,11,1.075601577758789e-05
17,12,1.0701239109039307e-05
17,13,1.0704636573791504e-05
17,14,1.0723888874053955e-05
17,15,1.0716795921325684e-05
17,16,1.0793566703796387e-05
17,17,1.0952889919281005e-05
17,18,1.0745644569396973e-05
17,19,1.0829508304595947e-05
17,20,1.0744988918304443e-05
17,21,1.0765552520751954e-05
17,22,1.0862052440643311e-05
17,23,1.077127456665039e-05
17,24,1.0924518108367919e-05
17,25,1.082301139831543e-05
17,26,1.0905861854553223e-05
17,27,1.0900497436523437e-05
17,28,1.0842680931091308e-05
17,29,1.0895669460296631e-05
17,30,1.0908722877502441e-05
17,31,1.0930418968200684e-05
17,32,1.0855674743652343e-05
17,33,1.0958850383758545e-05
17,34,1.0854542255401612e-05
17,35,1.0926306247711181e-05
17,36,1.0889828205108642e-05
17,37,1.0951459407806397e-05
17,38,1.0928630828857422e-05
17,39,1.0945141315460205e-05
17,40,1.0984301567077637e-05
17,41,1.0871231555938721e-05
17,42,1.0941147804260255e-05
17,43,1.0978162288665771e-05
17,44,1.096707582473755e-05
17,45,1.0930538177490234e-05
17,46,1.0974526405334473e-05
17,47,1.094907522201538e-05
17,48,1.0983169078826904e-05
17,49,1.0941267013549804e-05
17,50,1.0956108570098876e-05
18,4,1.1885941028594971e-05
18,5,1.1678993701934815e-05
18,6,1.1671662330627442e-05
18,7,1.170426607131958e-05
18,8,1.1638998985290528e-05
18,9,1.1615216732025147e-05
18,10,1.1619091033935547e-05
18,11,1.1673092842102052e-05
18,12,1.1667847633361816e-05
18,13,1.1642515659332276e-05
18,14,1.1630535125732421e-05
18,15,1.1568844318389892e-05
18,16,1.1616289615631104e-05
18,17,1.1592745780944824e-05
18,18,1.16233229637146e-05
18,19,1.1640071868896485e-05
18,20,1.158452033996582e-05
18,21,1.1636435985565186e-05
18,22,1.1696100234985352e-05
18,23,1.1696219444274902e-05
18,24,1.1705636978149414e-05
18,25,1.1713802814483643e-05
18,26,1.1696457862854004e-05
18,27,1.1753082275390625e-05
18,28,1.1751294136047363e-05
18,29,1.1675655841827392e-05
18,30,1.1704087257385254e-05
18,31,1.1678516864776611e-05
18,32,1.1607944965362549e-05
18,33,1.1709332466125488e-05
18,34,1.1802613735198974e-05
18,35,1.1611640453338623e-05
18,36,1.1644601821899414e-05
18,37,1.175081729888916e-05
18,38,1.1717677116394043e-05
18,39,1.1667609214782715e-05
18,40,1.1683881282806396e-05
